"","strain1","sig.at.both","not.sig.gxl","A/J","AKR/J","BALB/cByJ","BTBR T<+> Itpr3<tf>/J","C3H/HeJ","C57BL/6J","C57BLKS/J","CAST/EiJ","CBA/J","DBA/2J","DDY/JclSidSeyFrkJ","FVB/NJ","KK/HlJ","MA/MyJ","MOLF/EiJ","MRL/MpJ","MSM/MsJ","NOD/ShiLtJ","NON/ShiLtJ","NZL/LtJ","NZO/HlLtJ","NZW/LacJ","PWK/PhJ","SJL/J","SM/J","WSB/EiJ","BUB/BnJ","C57BL/10J","C57BR/cdJ","C57L/J","C58/J","CE/J","CZECHII/EiJ","I/LnJ","JF1/MsJ","LP/J","NZB/BlNJ","PERA/EiJ","PL/J","RIIIS/J","SEA/GnJ","SPRET/EiJ","SWR/J"
"1","129S1/SvImJ","both = 0","not GxL = 0","not GxL = 0,both = 0",NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,"not GxL = 0,both = 0","not GxL = 0,both = 0",NA,NA,"not GxL = 0,both = 0",NA,"not GxL = 0,both = 0",NA,"not GxL = 0,both = 0",NA,NA,NA,NA,"not GxL = 0,both = 0"
"2","129S1/SvImJ","both = 0","not GxL = 1",NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,"not GxL = 1,both = 0",NA,NA
"3","129S1/SvImJ","both = 1","not GxL = 0",NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA
"4","129S1/SvImJ","both = 2","not GxL = 0",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","A/J","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,"not GxL = 0,both = 0","not GxL = 0,both = 0","not GxL = 0,both = 0","not GxL = 0,both = 0",NA,NA,"not GxL = 0,both = 0",NA,"not GxL = 0,both = 0",NA,"not GxL = 0,both = 0",NA,NA,NA,NA,"not GxL = 0,both = 0"
"6","A/J","both = 0","not GxL = 1",NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,"not GxL = 1,both = 0",NA,NA
"7","A/J","both = 1","not GxL = 0",NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA
"8","A/J","both = 1","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 1",NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","A/J","both = 2","not GxL = 0",NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","AKR/J","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","AKR/J","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA
"12","AKR/J","both = 1","not GxL = 0",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"13","AKR/J","both = 1","not GxL = 1",NA,NA,NA,NA,NA,"not GxL = 1,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","AKR/J","both = 2","not GxL = 0",NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","BALB/cByJ","both = 0","not GxL = 0",NA,NA,NA,NA,"not GxL = 0,both = 0","not GxL = 0,both = 0",NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA
"16","BALB/cByJ","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA
"17","BALB/cByJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"18","BALB/cByJ","both = 1","not GxL = 1",NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","BALB/cByJ","both = 2","not GxL = 0",NA,NA,NA,"not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","BTBR T<+> Itpr3<tf>/J","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA
"21","BTBR T<+> Itpr3<tf>/J","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","BTBR T<+> Itpr3<tf>/J","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"23","BTBR T<+> Itpr3<tf>/J","both = 1","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","BTBR T<+> Itpr3<tf>/J","both = 2","not GxL = 0",NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","C3H/HeJ","both = 0","not GxL = 0",NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,"not GxL = 0,both = 0","not GxL = 0,both = 0",NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0","not GxL = 0,both = 0",NA,"not GxL = 0,both = 0",NA,"not GxL = 0,both = 0",NA,NA,"not GxL = 0,both = 0","not GxL = 0,both = 0",NA,NA,NA,NA,NA
"26","C3H/HeJ","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","C3H/HeJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"28","C3H/HeJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","C57BL/6J","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0","not GxL = 0,both = 0","not GxL = 0,both = 0","not GxL = 0,both = 0",NA,"not GxL = 0,both = 0",NA,"not GxL = 0,both = 0",NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA
