"","strain1","sig.at.both","not.sig.gxl","A/J","AKR/J","BALB/cByJ","BTBR T<+> Itpr3<tf>/J","C3H/HeJ","C57BL/6J","C57BLKS/J","CAST/EiJ","CBA/J","DBA/2J","DDY/JclSidSeyFrkJ","FVB/NJ","KK/HlJ","MA/MyJ","MOLF/EiJ","MRL/MpJ","MSM/MsJ","NOD/ShiLtJ","NON/ShiLtJ","NZL/LtJ","NZO/HlLtJ","NZW/LacJ","PWK/PhJ","SJL/J","SM/J","WSB/EiJ","BUB/BnJ","C57BL/10J","C57BR/cdJ","C57L/J","C58/J","CE/J","CZECHII/EiJ","I/LnJ","JF1/MsJ","LP/J","NZB/BlNJ","PERA/EiJ","PL/J","RIIIS/J","SEA/GnJ","SPRET/EiJ","SWR/J"
"51","DDY/JclSidSeyFrkJ","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","DDY/JclSidSeyFrkJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","FVB/NJ","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,"not GxL = 0,both = 0",NA,NA,NA,NA,NA
"54","FVB/NJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"55","FVB/NJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,"not GxL = 0,both = 2",NA,NA,NA,"not GxL = 0,both = 2",NA,NA,"not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","KK/HlJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1","not GxL = 0,both = 1"
"57","KK/HlJ","both = 2","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,"not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,"not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2","not GxL = 0,both = 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","MA/MyJ","both = 0","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 0",NA,NA,"not GxL = 0,both = 0",NA,"not GxL = 0,both = 0"
"59","MA/MyJ","both = 0","not GxL = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 1,both = 0",NA,NA,NA,NA
"60","MA/MyJ","both = 1","not GxL = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1","not GxL = 0,both = 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not GxL = 0,both = 1",NA,NA,"not GxL = 0,both = 1",NA,"not GxL = 0,both = 1",NA
