"","strain","FEMALES_percentage_center_time","group"
"221","NON/ShiLtJ",9.533,"control"
"222","NON/ShiLtJ",12.85,"control"
"223","NON/ShiLtJ",10.45,"control"
"224","NON/ShiLtJ",14.1,"control"
"225","NON/ShiLtJ",16.48,"control"
"226","NON/ShiLtJ",9.433,"control"
"227","NON/ShiLtJ",20.52,"control"
"228","NON/ShiLtJ",23.78,"control"
"229","NON/ShiLtJ",27.98,"control"
"230","NON/ShiLtJ",14.23,"control"
"231","NON/ShiLtJ",17.7,"control"
"232","NON/ShiLtJ",12.47,"control"
"233","NOR/LtJ",16.67,"control"
"234","NOR/LtJ",13.78,"control"
"235","NOR/LtJ",25.17,"control"
"236","NOR/LtJ",17.13,"control"
"237","NOR/LtJ",18.9,"control"
"238","NOR/LtJ",19.7,"control"
"239","NOR/LtJ",8.667,"control"
"240","NOR/LtJ",10.58,"control"
"241","NOR/LtJ",28.53,"control"
"242","NOR/LtJ",25.08,"control"
"243","NOR/LtJ",15.87,"control"
"244","NOR/LtJ",13.08,"control"
"245","NZO/HlLtJ",2.5,"control"
"246","NZO/HlLtJ",0.1,"control"
"247","NZO/HlLtJ",0,"control"
"248","NZO/HlLtJ",2.367,"control"
"249","NZO/HlLtJ",10,"control"
"250","NZO/HlLtJ",4.5,"control"
"251","NZO/HlLtJ",3.683,"control"
"252","NZW/LacJ",9.617,"control"
"253","NZW/LacJ",7.017,"control"
"254","NZW/LacJ",14.75,"control"
"255","NZW/LacJ",6.7,"control"
"256","NZW/LacJ",7.233,"control"
"257","NZW/LacJ",14.4,"control"
"258","NZW/LacJ",6.383,"control"
"259","NZW/LacJ",9.583,"control"
"260","NZW/LacJ",4.8,"control"
"261","NZW/LacJ",2.367,"control"
"262","PERA/EiJ",22.1,"control"
"263","PERA/EiJ",6.867,"control"
"264","PERA/EiJ",4.333,"control"
"265","PERA/EiJ",12.97,"control"
"266","PERA/EiJ",7.683,"control"
"267","PERA/EiJ",7.467,"control"
"268","PERA/EiJ",9.517,"control"
"269","PERA/EiJ",22,"control"
"270","P/J",7.117,"control"
"271","P/J",12.07,"control"
"272","P/J",7.95,"control"
"273","P/J",18.48,"control"
"274","P/J",8.667,"control"
"275","P/J",12.1,"control"
"276","P/J",12.98,"control"
"277","P/J",12.77,"control"
"278","PL/J",9.267,"control"
"279","PL/J",6.95,"control"
"280","PL/J",12.35,"control"
"281","PL/J",14.75,"control"
"282","PL/J",7.8,"control"
"283","PL/J",6.983,"control"
"284","PL/J",18.9,"control"
"285","PL/J",11.98,"control"
"286","PL/J",11.78,"control"
"287","PL/J",6.8,"control"
"288","PWD/PhJ",13.97,"control"
"289","PWD/PhJ",9,"control"
"290","PWD/PhJ",6.667,"control"
"291","PWD/PhJ",9.717,"control"
"292","PWD/PhJ",8.567,"control"
"293","PWD/PhJ",7.967,"control"
"294","RIIIS/J",11.5,"control"
"295","RIIIS/J",18,"control"
"296","RIIIS/J",5.717,"control"
"297","RIIIS/J",12.25,"control"
"298","RIIIS/J",9.4,"control"
"299","RIIIS/J",9.783,"control"
"300","SEA/GnJ",1.933,"control"
"301","SEA/GnJ",32.08,"control"
"302","SEA/GnJ",14.42,"control"
"303","SEA/GnJ",7.95,"control"
"304","SEA/GnJ",16.75,"control"
"305","SEA/GnJ",3.667,"control"
"306","SJL/J",8.917,"control"
"307","SJL/J",17.62,"control"
"308","SJL/J",3.5,"control"
"309","SJL/J",2.2,"control"
"310","SJL/J",8.917,"control"
"311","SJL/J",7.317,"control"
"312","SJL/J",1.783,"control"
"313","SJL/J",8.8,"control"
"314","SJL/J",2.667,"control"
"315","SJL/J",5.183,"control"
"316","SM/J",7.6,"control"
"317","SM/J",8.1,"control"
"318","SM/J",4.467,"control"
"319","SM/J",13.13,"control"
"320","SM/J",1.217,"control"
"321","SM/J",12.63,"control"
"322","SM/J",8.5,"control"
"323","SM/J",14.37,"control"
"324","SM/J",8.283,"control"
"325","SM/J",10.42,"control"
"326","SM/J",5.883,"control"
"327","SM/J",11.57,"control"
"328","SWR/J",10.78,"control"
"329","SWR/J",14.53,"control"
"330","SWR/J",20.07,"control"
"331","SWR/J",24.83,"control"
"332","SWR/J",11.1,"control"
"333","SWR/J",20.78,"control"
"334","SWR/J",17.95,"control"
"335","SWR/J",16.23,"control"
"336","SWR/J",15.95,"control"
"337","SWR/J",18.6,"control"
"338","SWR/J",8.4,"control"
"339","SWR/J",10.72,"control"
"340","WSB/EiJ",13.87,"control"
"341","WSB/EiJ",7.1,"control"
"342","WSB/EiJ",3.617,"control"
"343","WSB/EiJ",15.4,"control"
"344","WSB/EiJ",10.75,"control"
"345","WSB/EiJ",15.83,"control"
"346","WSB/EiJ",10.27,"control"
"347","WSB/EiJ",12.75,"control"
"348","ZALENDE/EiJ",18.6,"control"
"349","ZALENDE/EiJ",8.55,"control"
"350","ZALENDE/EiJ",9.167,"control"
"351","ZALENDE/EiJ",12.3,"control"
"352","ZALENDE/EiJ",15.7,"control"
"353","ZALENDE/EiJ",13.4,"control"
