lab,strain.1,strain.2,Diff,n.1,n.2,s.pooled,t-value common,pval common,treatment,sex,Diff Multi,Std. Error REML,df REML,t-value REML,pval REML,measure.name,t-value GXL-TAUGAX,pval REML GXL-TAUGAX
ICS,baseline,Arhgef4,-0.331862866861413,368,8,0.3907435311700631,-2.3765220275596257,0.017979382425987418,Control,Female,0.0496010639747432,0.1625164659754451,12,0.30520639048499554,0.7654380776950404,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Elk4,Arhgef4,-0.29616727575,8,8,0.6043110736803635,-0.980181527855473,0.3436321923574074,Control,Female,0.07579183369281432,0.1842928076279961,12,0.41125768644104543,0.6881332423546538,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Setmar,Arhgef4,-0.29785663903571424,7,8,0.5761908445149941,-0.9988247964968527,0.3361091407108986,Control,Female,0.08976263430805283,0.18530002922267694,12,0.48441780977910237,0.6368105696103117,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Slc38a10,Arhgef4,-0.43377082746428575,7,8,0.6138955519363414,-1.365256453906376,0.19533316199236958,Control,Female,0.18990988510394452,0.18376715508456232,12,1.0334267024842148,0.3217826587716832,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Tnfaip1,Arhgef4,-0.4507754052499999,8,8,0.6713743105381909,-1.3428437703809275,0.20068979912526544,Control,Female,0.10767698489429395,0.1866744575212615,12,0.5768169160584273,0.5747244596089669,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Ttll4,Arhgef4,-0.08594612317857142,7,8,0.5720908101345179,-0.2902750469661111,0.776184479931847,Control,Female,0.1406926949046355,0.1848527334821965,12,0.7611069214628946,0.4612885723525547,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Elk4,baseline,0.03569559111141296,8,368,0.38232749314422293,0.2612486346043086,0.7940445760025077,Control,Female,0.026190769718071126,0.1478912480842452,12,0.17709479132363357,0.8623878946995369,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Setmar,baseline,0.03400622782569873,7,368,0.3800396939242057,0.23452373165073614,0.8147070930067418,Control,Female,0.04016157033330963,0.14907204597754406,12,0.269410472432635,0.7921904227257143,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Slc38a10,baseline,-0.10190796060287277,7,368,0.38209170043648444,-0.6990331983755617,0.4849669278210237,Control,Female,0.14030882112920132,0.14699071242167858,12,0.9545420851263811,0.35864331280763184,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Tnfaip1,baseline,-0.11891253838858695,8,368,0.38649292100907173,-0.8609166092291309,0.3898355530756682,Control,Female,0.05807592091955075,0.15111360216287054,12,0.384319611790846,0.7074652671516859,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
