"","strain","FEMALES_percentage_center_time","group"
"259","NZW/LacJ",0.09583,"control"
"260","NZW/LacJ",0.048,"control"
"261","NZW/LacJ",0.02367,"control"
"262","PERA/EiJ",0.221,"control"
"263","PERA/EiJ",0.06867,"control"
"264","PERA/EiJ",0.04333,"control"
"265","PERA/EiJ",0.1297,"control"
"266","PERA/EiJ",0.07683,"control"
"267","PERA/EiJ",0.07467,"control"
"268","PERA/EiJ",0.09517,"control"
"269","PERA/EiJ",0.22,"control"
"270","P/J",0.07117,"control"
"271","P/J",0.1207,"control"
"272","P/J",0.0795,"control"
"273","P/J",0.1848,"control"
"274","P/J",0.08667,"control"
"275","P/J",0.121,"control"
"276","P/J",0.1298,"control"
"277","P/J",0.1277,"control"
"278","PL/J",0.09267,"control"
"279","PL/J",0.0695,"control"
"280","PL/J",0.1235,"control"
"281","PL/J",0.1475,"control"
"282","PL/J",0.078,"control"
"283","PL/J",0.06983,"control"
"284","PL/J",0.189,"control"
"285","PL/J",0.1198,"control"
"286","PL/J",0.1178,"control"
"287","PL/J",0.068,"control"
"288","PWD/PhJ",0.1397,"control"
"289","PWD/PhJ",0.09,"control"
"290","PWD/PhJ",0.06667,"control"
"291","PWD/PhJ",0.09717,"control"
"292","PWD/PhJ",0.08567,"control"
"293","PWD/PhJ",0.07967,"control"
"294","RIIIS/J",0.115,"control"
"295","RIIIS/J",0.18,"control"
"296","RIIIS/J",0.05717,"control"
"297","RIIIS/J",0.1225,"control"
"298","RIIIS/J",0.094,"control"
"299","RIIIS/J",0.09783,"control"
"300","SEA/GnJ",0.01933,"control"
"301","SEA/GnJ",0.3208,"control"
"302","SEA/GnJ",0.1442,"control"
"303","SEA/GnJ",0.0795,"control"
"304","SEA/GnJ",0.1675,"control"
"305","SEA/GnJ",0.03667,"control"
"306","SJL/J",0.08917,"control"
"307","SJL/J",0.1762,"control"
"308","SJL/J",0.035,"control"
"309","SJL/J",0.022,"control"
"310","SJL/J",0.08917,"control"
"311","SJL/J",0.07317,"control"
"312","SJL/J",0.01783,"control"
"313","SJL/J",0.088,"control"
"314","SJL/J",0.02667,"control"
"315","SJL/J",0.05183,"control"
"316","SM/J",0.076,"control"
"317","SM/J",0.081,"control"
"318","SM/J",0.04467,"control"
"319","SM/J",0.1313,"control"
"320","SM/J",0.01217,"control"
"321","SM/J",0.1263,"control"
"322","SM/J",0.085,"control"
"323","SM/J",0.1437,"control"
"324","SM/J",0.08283,"control"
"325","SM/J",0.1042,"control"
"326","SM/J",0.05883,"control"
"327","SM/J",0.1157,"control"
"328","SWR/J",0.1078,"control"
"329","SWR/J",0.1453,"control"
"330","SWR/J",0.2007,"control"
"331","SWR/J",0.2483,"control"
"332","SWR/J",0.111,"control"
"333","SWR/J",0.2078,"control"
"334","SWR/J",0.1795,"control"
"335","SWR/J",0.1623,"control"
"336","SWR/J",0.1595,"control"
"337","SWR/J",0.186,"control"
"338","SWR/J",0.084,"control"
"339","SWR/J",0.1072,"control"
"340","WSB/EiJ",0.1387,"control"
"341","WSB/EiJ",0.071,"control"
"342","WSB/EiJ",0.03617,"control"
"343","WSB/EiJ",0.154,"control"
"344","WSB/EiJ",0.1075,"control"
"345","WSB/EiJ",0.1583,"control"
"346","WSB/EiJ",0.1027,"control"
"347","WSB/EiJ",0.1275,"control"
"348","ZALENDE/EiJ",0.186,"control"
"349","ZALENDE/EiJ",0.0855,"control"
"350","ZALENDE/EiJ",0.09167,"control"
"351","ZALENDE/EiJ",0.123,"control"
"352","ZALENDE/EiJ",0.157,"control"
"353","ZALENDE/EiJ",0.134,"control"
